h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.42668520331050935;0.11561993260213628;1.19632668305791
20.0;0.509456034657485;0.1202940267019897;1.19632668305791
40.0;0.7090555771563316;0.12585269270197966;1.19632668305791
60.0;0.8408936790890549;0.09824989201278465;1.19632668305791
80.0;0.932242212493511;0.053010615826722354;1.19632668305791
100.0;1.0;-1.777095252669224e-19;1.19632668305791
120.0;1.0492956432626297;-0.0576815248337252;1.19632668305791
140.0;1.0806054387888386;-0.11791726158668037;1.19632668305791
150.0;1.090533067355598;-0.14769800313546683;1.19632668305791
160.0;1.097008475843711;-0.1771499506374165;1.19632668305791
180.0;1.1058374386693093;-0.23479042117535306;1.19632668305791
200.0;1.1050947790037522;-0.2887933719853659;1.19632668305791
220.0;1.0983708546463344;-0.33856566003406535;1.19632668305791
250.0;1.0812746407573899;-0.4064533532692289;1.19632668305791
300.0;1.0399011274300525;-0.4992247183493992;1.19632668305791
500.0;0.8519443367761044;-0.7076379987122208;1.19632668305791
600.0;0.7776010451678546;-0.750938124243099;1.19632668305791
