h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.47762726686426077;0.08335809983371702;1.439521107303161
20.0;0.5485534061010338;0.08409014840060369;1.439521107303161
40.0;0.7204739496411734;0.08243830516521791;1.439521107303161
60.0;0.8376646251269366;0.062383196063486;1.439521107303161
80.0;0.9264512056096079;0.033170997665000715;1.439521107303161
100.0;1.0;2.593970192196156e-19;1.439521107303161
120.0;1.0622144085725829;-0.03574363872031995;1.439521107303161
140.0;1.1140688394865945;-0.07344038640936258;1.439521107303161
150.0;1.1366666204519056;-0.09270845152246418;1.439521107303161
160.0;1.1573608753691478;-0.11226541309940384;1.439521107303161
180.0;1.1961963934931374;-0.1515701156046917;1.439521107303161
200.0;1.228765210021929;-0.19126868543553993;1.439521107303161
220.0;1.2565013001012324;-0.23073810349543417;1.439521107303161
250.0;1.2914329098523012;-0.2891974059643865;1.439521107303161
300.0;1.3312979293518803;-0.38188592406972;1.439521107303161
500.0;1.3612391860363833;-0.664859628709331;1.439521107303161
600.0;1.3386430505768143;-0.7484311782173148;1.439521107303161
