h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.435780484676427;0.03749479348345402;1.3518759138823555
20.0;0.514047389540068;0.03701666388861269;1.3518759138823555
40.0;0.7063154453424567;0.033908809277820445;1.3518759138823555
60.0;0.8303875847595064;0.021660055658725422;1.3518759138823555
80.0;0.9232998992441606;0.009971111706231453;1.3518759138823555
100.0;0.9999999999999999;-1.3867866901661656e-18;1.3518759138823555
120.0;1.0647013677283703;-0.008108307147406497;1.3518759138823555
140.0;1.1171505856075512;-0.013825057399327653;1.3518759138823555
150.0;1.1400037094371438;-0.01563027232837772;1.3518759138823555
160.0;1.1595440214219688;-0.016546230110251244;1.3518759138823555
180.0;1.1960623075061418;-0.017161545115213245;1.3518759138823555
200.0;1.224255585643674;-0.014073750527838333;1.3518759138823555
220.0;1.2474143013973036;-0.00828248881360491;1.3518759138823555
250.0;1.2743580352967976;0.0048463262965279755;1.3518759138823555
300.0;1.3018035549728;0.03817254894516864;1.3518759138823555
500.0;1.3231563945131812;0.2170633275372482;1.3518759138823555
600.0;1.3174401288836637;0.28685092883922036;1.3518759138823555
