h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.4213228956792538;0.07688257492300485;1.1439837967709678
20.0;0.5040642955995756;0.08003159322894625;1.1439837967709678
40.0;0.7060848428186777;0.08375626307846093;1.1439837967709678
60.0;0.8370853535746625;0.06485032409128899;1.1439837967709678
80.0;0.9299162663138001;0.034925037748580245;1.1439837967709678
100.0;1.0;-7.965242316422497e-19;1.1439837967709678
120.0;1.0519367679224592;-0.03787743036908376;1.1439837967709678
140.0;1.0847408235993417;-0.07715247709862504;1.1439837967709678
150.0;1.0952661810868196;-0.09630762670339175;1.1439837967709678
160.0;1.1011682835630097;-0.11483785163190512;1.1439837967709678
180.0;1.1084816008928204;-0.15046734971527523;1.1439837967709678
200.0;1.1037848266499095;-0.18151048424931898;1.1439837967709678
220.0;1.091786341574885;-0.20800116467597243;1.1439837967709678
250.0;1.0642209704287389;-0.2401007428063063;1.1439837967709678
300.0;1.000317863101457;-0.2719569793191802;1.1439837967709678
500.0;0.711175637750963;-0.2562456005407477;1.1439837967709678
600.0;0.5994282697353406;-0.22018056151755283;1.1439837967709678
