h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.6859826934392103;0.023047623608164907;1.298409336628043
20.0;0.7334349806522171;0.021559222652183525;1.298409336628043
40.0;0.8503930260801418;0.01741503608537111;1.298409336628043
60.0;0.9130656991666627;0.012105829940835281;1.298409336628043
80.0;0.9604423181567251;0.006165268609869793;1.298409336628043
100.0;1.0;-1.0607659946862228e-19;1.298409336628043
120.0;1.034181589814746;-0.0063225643376642;1.298409336628043
140.0;1.063965830594553;-0.012821429974554675;1.298409336628043
150.0;1.0780259403769303;-0.01621592554484356;1.298409336628043
160.0;1.0912748935108685;-0.019731255996365434;1.298409336628043
180.0;1.117289376254518;-0.026993444929637983;1.298409336628043
200.0;1.1415557602814794;-0.034973198221029664;1.298409336628043
220.0;1.164800288681153;-0.04363019717680688;1.298409336628043
250.0;1.1978028574999715;-0.057727774428466896;1.298409336628043
300.0;1.2469335420769212;-0.08398045442570735;1.298409336628043
500.0;1.3791688872072045;-0.19265560631801434;1.298409336628043
600.0;1.41260160031415;-0.23796366510496836;1.298409336628043
