h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.3774303935442721;0.09434060906193076;1.2425555044883492
20.0;0.4657719256666269;0.09702099960344322;1.2425555044883492
40.0;0.6796558065625644;0.0986322771149636;1.2425555044883492
60.0;0.8218092762049335;0.07340809862610052;1.2425555044883492
80.0;0.9222784670071985;0.03808320589911804;1.2425555044883492
100.0;1.0;9.141459615215147e-20;1.2425555044883492
120.0;1.0606240042645612;-0.038889560238285964;1.2425555044883492
140.0;1.105134724093198;-0.07693790572861656;1.2425555044883492
150.0;1.1226129732361712;-0.0949447393995727;1.2425555044883492
160.0;1.1368880538210302;-0.1122741182499273;1.2425555044883492
180.0;1.162068975416013;-0.14567863882426216;1.2425555044883492
200.0;1.1784038355747373;-0.175667146561451;1.2425555044883492
220.0;1.1891433327696814;-0.20255277185281012;1.2425555044883492
250.0;1.1976776351361977;-0.2381153402220535;1.2425555044883492
300.0;1.1959233136798293;-0.28399975845547293;1.2425555044883492
500.0;1.1259359723149154;-0.3718535835062944;1.2425555044883492
600.0;1.090276875464137;-0.3868153004505185;1.2425555044883492
