h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.7376665842513215;0.008482504670140164;1.0935056853687597
20.0;0.7819908636550604;0.00751628018213472;1.0935056853687597
40.0;0.8920760126884013;0.005071011643437672;1.0935056853687597
60.0;0.9416419812242551;0.003431331325485625;1.0935056853687597
80.0;0.9753459711790141;0.001709525681345627;1.0935056853687597
100.0;1.0;6.548141621123609e-20;1.0935056853687597
120.0;1.0180606995540586;-0.0015695624931576888;1.0935056853687597
140.0;1.0301776103267337;-0.0027605781655510686;1.0935056853687597
150.0;1.0352302613015123;-0.003163043100596526;1.0935056853687597
160.0;1.039009217891015;-0.003424421659204851;1.0935056853687597
180.0;1.0460634241361786;-0.0037944465348352064;1.0935056853687597
200.0;1.0510170383750677;-0.003825727550467708;1.0935056853687597
220.0;1.055359005700588;-0.003761496407624456;1.0935056853687597
250.0;1.06069782479462;-0.003753861393804039;1.0935056853687597
300.0;1.0682119693925802;-0.005078795798997334;1.0935056853687597
500.0;1.0920043509339172;-0.026291684943221077;1.0935056853687597
600.0;1.1014224529013903;-0.043408940918762386;1.0935056853687597
