h [m];u1 [-];v1 [-];scale factor1 [-]
10.0;0.520849660570993;0.058983035148797276;1.496335933315392
20.0;0.585912460793945;0.058252892576462996;1.496335933315392
40.0;0.7444047695769394;0.05420339527091744;1.496335933315392
60.0;0.8491368400078422;0.03918173059041941;1.496335933315392
80.0;0.9303869472077708;0.020221949486190174;1.496335933315392
100.0;1.0;-3.8053928244826783e-19;1.496335933315392
120.0;1.0613956912994067;-0.020926942793240217;1.496335933315392
140.0;1.1155947398614046;-0.04234745676094327;1.496335933315392
150.0;1.140547333620298;-0.05319764737403299;1.496335933315392
160.0;1.164108691761071;-0.06414976754319776;1.496335933315392
180.0;1.2096095804703195;-0.08615453129279274;1.496335933315392
200.0;1.2506961156355083;-0.10838638889139575;1.496335933315392
220.0;1.2883806364425103;-0.13065966531297932;1.496335933315392
250.0;1.3397792467433731;-0.1638987987296593;1.496335933315392
300.0;1.410173178374981;-0.2170555785146382;1.496335933315392
500.0;1.5636475537503194;-0.3823914368491532;1.496335933315392
600.0;1.5892257320223486;-0.43525955547603773;1.496335933315392
